Airport,Date,city,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado,ArrDelay_mean,LateArrMean,LatePercnt,ArrClass
ORD,17/02/2007,Chicago,0,0,-3,-6,7,15,-9,2.03,0,1,IL,0,0,45.96248535,55.4264099,85.22860492,1
ORD,18/02/2007,Chicago,0,0,-6,-8,16,15,-12,0,0,0,IL,0,0,9.310590631,31.18125,48.87983707,0
ORD,19/02/2007,Chicago,0,0,6,-2,16,26,-11,0,0,0,IL,0,0,9.933207902,25.72696246,55.12699906,0
ORD,20/02/2007,Chicago,0,0,7,3,12,9,-1,0,0,0,IL,0,0,0.788279773,22.83113456,35.82230624,0
ORD,21/02/2007,Chicago,0,0,9,2,11,15,-5,0,0,0,IL,0,0,5.728927203,28.35874439,42.72030651,0
ORD,22/02/2007,Chicago,0,0,4,1,16,25,-3,0,0,0,IL,0,0,49.52390641,60.0615942,84.23194303,1
ORD,23/02/2007,Chicago,0,0,1,-2,16,18,-5,T,0,0,IL,0,0,8.489990467,29.22268041,46.23450906,0
ORD,24/02/2007,Chicago,1,0,0,-2,10,32,-3,10.67,1,1,IL,0,0,17.33586626,39.83791209,55.31914894,1
ORD,25/02/2007,Chicago,0,0,3,2,6,23,-1,11.18,1,1,IL,0,0,45.91058394,62.76303318,77.00729927,1
ORD,26/02/2007,Chicago,0,0,1,0,9,19,-1,0.76,0,1,IL,0,0,70.01397849,82.73225405,86.34408602,1
ORD,27/02/2007,Chicago,0,0,1,-1,13,11,-2,0,0,0,IL,0,0,6.983901515,35.15935335,41.00378788,0
ORD,28/02/2007,Chicago,0,0,2,0,12,19,-2,0.25,1,1,IL,1,0,8.76240458,30.31818182,48.28244275,0
ORD,01/03/2007,Chicago,0,0,7,4,7,27,0,27.69,1,1,IL,1,0,121.1713918,127.8102981,95.10309278,1
ORD,02/03/2007,Chicago,0,0,0,-2,5,37,-4,1.52,0,1,IL,0,0,90.02883355,98.58345221,91.87418087,1
ORD,03/03/2007,Chicago,0,0,-3,-4,11,21,-7,0.51,0,1,IL,0,0,32.96287129,46.43089431,76.11386139,1
ORD,04/03/2007,Chicago,0,0,-1,-5,16,22,-10,0,0,0,IL,0,0,7.25974026,29.01956522,45.95404595,0
