Airport,Date,city,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado,ArrDelay_mean,LateArrMean,LatePercnt,ArrClass
ORD,01/01/2008,Chicago,0,0,-3,-9,6,24,-16,1.27,0,1,IL,0,0,64.04844721,80.77896341,81.49068323,1
ORD,02/01/2008,Chicago,0,0,-7,-12,15,17,-17,T,0,1,IL,0,0,38.58613445,48.5819568,82.66806723,1
ORD,03/01/2008,Chicago,0,0,-5,-11,16,19,-18,0,0,0,IL,0,0,6.852376138,26.86480687,47.11830131,0
ORD,04/01/2008,Chicago,0,0,2,-2,16,24,-6,0,0,0,IL,0,0,3.133668342,33.74709302,34.57286432,0
ORD,05/01/2008,Chicago,1,0,6,4,10,22,2,T,0,0,IL,0,0,31.04098361,51.77137871,67.09601874,1
ORD,06/01/2008,Chicago,1,0,16,11,8,21,5,0.25,0,0,IL,0,0,49.68765133,64.26998492,80.26634383,1
ORD,07/01/2008,Chicago,0,0,18,14,14,25,11,0.76,1,0,IL,1,0,80.37397421,99.51420455,82.53223916,1
ORD,08/01/2008,Chicago,0,0,13,8,13,22,3,16.76,1,0,IL,1,0,58.0861678,71.74897681,83.10657596,1
ORD,09/01/2008,Chicago,0,0,4,2,14,14,-1,0,0,0,IL,0,0,0.372793354,35.76404494,27.7258567,0
ORD,10/01/2008,Chicago,0,0,7,3,11,15,0,7.62,1,1,IL,0,0,16.22651357,50.02745995,45.61586639,1
ORD,11/01/2008,Chicago,0,0,2,0,12,17,-2,0.25,0,1,IL,0,0,5.1124871,33.32539683,39.00928793,0
ORD,12/01/2008,Chicago,0,0,5,1,12,12,-4,0,0,0,IL,0,0,-7.887434555,22.65269461,21.85863874,0
ORD,13/01/2008,Chicago,0,0,3,0,11,18,-3,T,0,1,IL,0,0,5.268052516,27.21103118,45.62363239,0
ORD,14/01/2008,Chicago,0,0,-3,-6,11,21,-9,0.51,0,1,IL,0,0,28.10374332,52.97400347,61.71122995,1
ORD,15/01/2008,Chicago,0,0,-3,-7,16,12,-11,T,0,1,IL,0,0,-2.024819028,26.7544484,29.05894519,0
ORD,16/01/2008,Chicago,0,0,4,-1,16,20,-7,0,0,0,IL,0,0,-5.152734778,26.80888889,23.21981424,0
ORD,17/01/2008,Chicago,0,0,1,-5,10,24,-11,2.03,0,1,IL,0,0,85.75552969,105.4957983,83.11990687,1
ORD,18/01/2008,Chicago,0,0,-3,-8,14,20,-14,T,0,1,IL,0,0,24.49575372,47.19332162,60.40339703,1
ORD,19/01/2008,Chicago,0,0,-14,-17,16,21,-19,T,0,0,IL,0,0,6.732026144,31.43108504,44.5751634,0
ORD,20/01/2008,Chicago,0,0,-12,-16,16,16,-21,0,0,0,IL,0,0,2.323756906,25.61971831,39.22651934,0
ORD,21/01/2008,Chicago,0,0,-3,-8,8,12,-13,2.54,0,1,IL,0,0,70.29510022,81.79846939,87.30512249,1
ORD,22/01/2008,Chicago,0,0,-2,-7,10,22,-12,2.03,0,1,IL,0,0,86.67201835,90.82535885,95.87155963,1
ORD,23/01/2008,Chicago,0,0,-10,-12,9,12,-15,1.02,0,1,IL,0,0,60.98835856,79.88774003,78.81257276,1
ORD,24/01/2008,Chicago,0,0,-12,-16,16,16,-20,0,0,0,IL,0,0,4.314168378,26.33726415,43.53182752,0
ORD,25/01/2008,Chicago,0,0,-7,-13,12,12,-21,0.76,0,1,IL,0,0,19.01342975,44.86068702,54.13223141,1
ORD,26/01/2008,Chicago,0,0,0,-3,11,17,-7,1.27,0,1,IL,0,0,13.71994716,31.18584071,59.70937913,0
ORD,27/01/2008,Chicago,0,0,2,-6,14,8,-14,0,0,0,IL,0,0,3.032044199,29.71346705,38.56353591,0
ORD,28/01/2008,Chicago,0,0,7,0,16,32,-7,0.51,1,0,IL,0,0,66.50793651,88.2460815,77.8998779,1
