,Date,city,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado
0,2006-12-09,San_Francisco,0,0,17,14,12,22,11,15.75,1,0,CA,1,0
0,2006-12-10,San_Francisco,0,0,15,12,13,12,9,6.60,1,0,CA,1,0
0,2006-12-11,San_Francisco,0,0,14,11,14,7,7,0.25,1,0,CA,0,0
0,2006-12-12,San_Francisco,0,0,18,15,9,13,12,29.46,1,0,CA,0,0
0,2006-12-13,San_Francisco,0,0,14,14,10,7,13,1.02,1,0,CA,0,0
0,2006-12-14,San_Francisco,0,0,15,14,10,7,13,0.00,1,0,CA,0,0
0,2006-12-15,San_Francisco,0,0,14,12,14,19,9,0.76,1,0,CA,0,0
0,2006-12-16,San_Francisco,0,0,11,7,16,14,4,0.00,0,0,CA,0,0
0,2006-12-17,San_Francisco,0,0,11,8,16,10,4,0.00,0,0,CA,0,0
0,2006-12-18,San_Francisco,0,0,13,7,16,5,2,0.00,0,0,CA,0,0
0,2006-12-19,San_Francisco,0,0,11,6,16,4,2,0.00,0,0,CA,0,0
0,2006-12-20,San_Francisco,0,0,10,6,14,3,2,0.00,0,0,CA,0,0
0,2006-12-21,San_Francisco,0,0,13,10,9,8,7,11.18,1,0,CA,0,0
0,2006-12-22,San_Francisco,0,0,13,10,13,6,7,0.25,1,0,CA,0,0
0,2006-12-23,San_Francisco,0,0,12,8,15,6,4,0.00,0,0,CA,0,0
0,2006-12-24,San_Francisco,0,0,11,8,10,7,6,0.00,0,0,CA,0,0
0,2006-12-25,San_Francisco,0,0,12,9,5,3,7,0.00,0,0,CA,0,0
0,2006-12-26,San_Francisco,0,0,17,14,12,26,10,12.19,1,0,CA,0,0
0,2006-12-27,San_Francisco,0,0,13,11,14,44,8,1.02,1,0,CA,0,0
0,2006-12-28,San_Francisco,0,0,14,10,16,23,6,0.00,0,0,CA,0,0
0,2006-12-29,San_Francisco,0,0,12,7,16,5,3,0.00,0,0,CA,0,0
0,2006-12-30,San_Francisco,0,0,12,8,16,6,3,0.00,0,0,CA,0,0
0,2006-12-31,San_Francisco,0,0,11,9,9,6,8,T,1,0,CA,0,0
